Date,EWA,EWC,IGE
20070507,23.1,26.81,36.08
20070508,23.03,26.78,36.07
20070509,23.5,26.77,36.04
20070510,23.05,26.48,35.42
20070511,23.47,26.91,36.18
20070514,23.35,26.81,36.22
20070515,23.31,27.15,36.24
20070516,23.05,27.21,36.35
20070517,23.24,27.58,36.88
20070518,23.34,27.81,37.39
20070521,23.25,27.96,37.8
20070522,23.04,27.76,37.44
20070523,23.2,27.71,37.62
20070524,22.35,27.53,36.86
20070525,22.9,27.88,37.4
20070529,22.84,27.89,37.19
20070530,22.83,28.15,37.86
20070531,23.15,28.18,37.83
20070601,23.44,28.54,38.27
20070604,23.71,28.62,38.8
20070605,23.75,28.5,38.62
20070606,23.35,28.11,38.02
20070607,23.16,27.41,37.21
20070608,23.43,27.73,37.56
20070611,23.6,27.6,37.78
20070612,22.92,27.44,37.34
20070613,23.27,27.88,38.13
20070614,23.35,28.21,38.81
20070615,23.75,28.66,39.32
20070618,23.88,28.74,39.41
20070619,24.24,28.5,39.4
20070620,24.2,28.06,38.34
20070621,24.27,28.13,39.11
20070622,24.1,27.91,38.75
20070625,24.3,27.65,38.19
20070626,23.8,27.23,37.56
20070627,23.25,27.47,37.96
20070628,23.74,27.83,37.84
20070629,23.72,27.94,38.07
20070702,24.37,28.31,38.77
20070703,24.27,28.4,38.96
20070705,24.6,28.62,39.02
20070706,24.7,28.92,39.39
20070709,24.94,28.98,39.83
20070710,24.57,28.8,39.61
20070711,24.6,28.83,39.69
20070712,25.1,29.51,40.53
20070713,25.18,29.78,40.94
20070716,25.22,29.58,40.27
20070717,25.12,29.68,39.96
20070718,25.09,30.08,40.75
20070719,25.45,30.27,41.15
20070720,25.38,30,40.89
20070723,25.6,29.78,40.75
20070724,25.24,29.26,39.68
20070725,25.35,29.19,40
20070726,23.73,28.24,38.66
20070727,22.75,27.78,37.95
20070730,23.38,27.91,38.38
20070731,23.29,27.94,38.22
20070801,22.79,27.67,37.91
20070802,23.05,28.26,37.82
20070803,22.05,27.68,36.36
20070806,22.73,27.54,36.49
20070807,22.97,27.61,37.19
20070808,23.74,28.28,38.11
20070809,22.54,27.37,36.9
20070810,22.6,27.45,37.23
20070813,22.66,27.38,37.14
20070814,21.62,26.63,36.61
20070815,20.46,25.95,35.53
20070816,19.39,25.6,35.22
20070817,20.18,26.5,36.13
20070820,21.1,26.76,36.29
20070821,21,26.87,35.96
20070822,21.85,27.36,36.58
20070823,22.67,27.56,36.87
20070824,23.1,27.85,37.56
20070827,22.9,27.58,37.22
20070828,22.08,26.82,36.2
20070829,23.03,27.92,37.34
20070830,22.37,27.5,37.24
20070831,23.19,27.98,37.79
20070904,23.72,28.37,38.65
20070905,22.85,28.15,38.52
20070906,23.59,28.32,39
20070907,23.06,28.05,38.56
20070910,23.09,27.92,38.3
20070911,24.12,28.39,38.94
20070912,23.8,28.76,39.17
20070913,24.14,28.98,39.55
20070914,24.19,29.17,39.66
20070917,23.66,29.16,39.55
20070918,24.59,30.01,40.9
20070919,25.24,29.84,41.02
20070920,25.27,30.02,41.25
20070921,25.45,30.24,41.47
20070924,25.78,30.25,41.28
20070925,26.21,30.35,40.82
20070926,26.55,30.45,40.85
20070927,26.8,30.75,41.28
20070928,27.04,30.81,41.1
20071001,27.84,31.23,41.65
20071002,27.51,30.97,41.35
20071003,27.38,30.64,40.92
20071004,27.34,31.03,41.19
20071005,27.89,31.66,41.5
20071008,27.45,31.51,41.02
20071009,28.31,31.67,41.77
20071010,28.27,31.85,42.17
20071011,28.5,31.8,42.24
20071012,28.73,32.31,42.47
20071015,28.25,31.81,42.96
20071016,27.58,31.5,42.82
20071017,27.67,31.88,42.72
20071018,28.35,32.55,43.08
20071019,27.08,31.64,41.28
20071022,27.17,31.73,40.84
20071023,28.02,31.86,41.44
20071024,28.11,31.9,41.61
20071025,28.2,31.98,42.12
20071026,29.17,32.62,42.73
20071029,29.57,33.23,43.07
20071030,29.09,32.89,41.81
20071031,29.96,34.16,42.96
20071101,28.63,33.21,41.96
20071102,28.99,33.99,42.72
20071105,28.25,33.73,42.35
20071106,28.92,34.5,43.54
20071107,28.36,33.63,42.35
20071108,28.65,33.08,42.64
20071109,27.46,32.32,41.86
20071112,26.01,30.75,39.81
20071113,27.49,31.54,40.62
20071114,27.5,31.34,40.73
20071115,26.51,29.98,39.58
20071116,26.89,30.41,40.2
20071119,26.09,29.6,39.46
20071120,26.65,30.09,40.44
20071121,25.44,29.29,39.66
20071123,25.81,29.93,40.37
20071126,25.35,30.01,39.57
20071127,25.9,29.5,39.04
20071128,26.9,30.38,39.82
20071129,26.61,30.49,40.15
20071130,26.89,29.99,40.15
20071203,26.76,29.88,40.43
20071204,26.34,29.28,40
20071205,26.73,29.69,40.68
20071206,27.33,30.02,41.81
20071207,27.01,30.15,41.89
20071210,27.62,30.35,42.2
20071211,26.77,29.48,41.02
20071212,27.15,29.79,42.05
20071213,26.92,29.53,42.04
20071214,25.57,29.36,41.43
20071217,24.45,29.11,40.32
20071218,24.59,29.08,40.93
20071219,24.45,29.25,41.21
20071220,24.48,29.38,41.68
20071221,25.25,30.04,42.79
20071224,25.53,30.57,43.07
20071226,25.56,30.69,43.54
20071227,25.37,30.67,43.41
20071228,25.65,31.01,43.54
20071231,25.35,30.58,42.98
20080102,25.31,30.87,43.67
20080103,25.45,31.01,44.1
20080104,24.62,30.2,42.7
20080107,24.55,29.75,42.17
20080108,24.3,29.56,41.72
20080109,24.65,29.64,42.18
20080110,25.07,29.77,42.05
20080111,24.2,29.27,41.53
20080114,24.67,29.54,42.34
20080115,23.53,28.7,40.78
20080116,23.17,27.88,39.24
20080117,22.24,27.03,37.56
20080118,22.62,27,37.64
20080122,21.39,26.83,36.8
20080123,21.43,27.12,36.68
20080124,22.48,28.05,38.18
20080125,23.32,28.11,37.87
20080128,23.78,28.05,38.61
20080129,23.39,28.67,38.87
20080130,22.73,28.72,38.76
20080131,23.41,28.75,38.66
20080201,24.96,29.39,39.38
20080204,24.3,28.87,39.47
20080205,22.99,28.23,37.95
20080206,22.8,28.31,37.21
20080207,22.78,28.03,37.75
20080208,22.76,28.51,38.48
20080211,22.91,28.82,39.46
20080212,23.27,28.76,39.18
20080213,22.79,29.3,40.26
20080214,22.86,29.05,40.1
20080215,23.26,28.85,39.94
20080219,23.37,29.04,41.1
20080220,23.05,29.5,41.73
20080221,22.98,29.48,40.9
20080222,23.36,29.64,41.47
20080225,24.21,30.42,42.44
20080226,24.48,31,43.23
20080227,24.75,31,42.96
20080228,24.34,31.42,43.79
20080229,23.07,30.48,42.41
20080303,23.35,30.24,42.85
20080304,22.61,29.87,42.14
20080305,23.13,30.48,43.24
20080306,22.34,29.84,42.27
20080307,21.75,29.5,41.45
20080310,21.26,28.72,40.64
20080311,22.29,29.6,42.33
20080312,22.17,29.61,41.76
20080313,22.4,30.11,42.64
20080314,21.81,29.69,42.05
20080317,21.24,28.6,40.41
20080318,21.89,29.16,41.68
20080319,21.44,27.49,39.05
20080320,21.37,27.49,38.93
20080324,22.05,28.17,39.5
20080325,22.05,28.91,40.22
20080326,22.56,28.97,41.11
20080327,22.38,28.97,40.83
20080328,22.31,28.73,40.69
20080331,22.29,28.78,40.76
20080401,22.92,29.15,41.31
20080402,23.23,29.57,42
20080403,23.79,29.98,42.19
20080404,24.12,30.09,42.78
20080407,24.2,30.1,42.88
20080408,24.21,30.15,43.17
20080409,23.54,30.05,43.4
20080410,23.47,30.38,43.52
20080411,23.03,29.71,42.8
20080414,22.8,29.95,43.52
20080415,23.33,30.24,44.05
20080416,24.42,31.44,45.53
20080417,23.91,31.21,45.42
20080418,23.9,31.62,46.28
20080421,24.71,31.87,46.69
20080422,24.39,31.9,46.56
20080423,24.92,30.98,45.9
20080424,24.46,30.8,44.77
20080425,24.46,31.12,45.56
20080428,24.3,31.1,45.44
20080429,23.99,30.46,44.34
20080430,24.31,30.93,44.67
20080501,24.49,30.83,43.9
20080502,24.96,31.37,44.69
20080505,25.14,31.51,45.44
20080506,25.37,32.22,46.67
20080507,24.39,31.96,46.2
20080508,25.15,32.22,47.28
20080509,25.32,32.4,47.08
20080512,26.05,32.92,47.13
20080513,25.79,32.74,47.7
20080514,25.96,32.73,47.15
20080515,26.41,33.34,48.06
20080516,26.85,33.79,49.5
20080519,26.72,33.86,49.97
20080520,26.28,34.22,50.67
20080521,26,33.81,49.91
20080522,26.17,33.88,49.37
20080523,25.66,33.6,48.61
20080527,25.8,32.91,48.03
20080528,25.66,33.44,48.87
20080529,25.54,33.15,47.69
20080530,25.8,33.48,48.22
20080602,25.37,33.38,48.43
20080603,24.71,32.87,47.72
20080604,24.6,32.62,46.96
20080605,25.13,33.36,49.04
20080606,24.55,33.13,48.66
20080609,24.23,33.09,49.66
20080610,23.85,32.43,48.3
20080611,23.61,32.69,48.7
20080612,23.18,32.19,47.8
20080613,23.62,32.44,48.19
20080616,23.39,33,48.54
20080617,23.86,33.48,49.46
20080618,23.78,33.45,49.69
20080619,23.92,32.86,48.5
20080620,23.16,32.28,48.08
20080623,23.26,32.53,49.74
20080624,23.28,32.07,48.77
20080625,23.48,31.93,48.38
20080626,23.07,31.57,48.23
20080627,23.43,31.71,48.72
20080630,23,31.62,49.43
20080701,22.51,31.71,49.73
20080702,22.1,31,47.77
20080703,22.08,30.76,47.31
20080707,21.85,30.29,46.15
20080708,22,30.41,45.41
20080709,21.65,30.13,44.52
20080710,22.1,30.5,46.01
20080711,21.79,30.34,46.04
20080714,21.98,30.51,46.62
20080715,21.5,29.63,44.72
20080716,22.15,30.13,43.9
20080717,22.2,29.93,42.87
20080718,22.02,30.09,43.3
20080721,22.75,30.6,44.57
20080722,22.75,30.33,43.26
20080723,22.99,29.99,41.42
20080724,22.41,29.03,40.96
20080725,22.23,29.33,41.39
20080728,21.29,29.01,41.36
20080729,21.51,29.11,40.86
20080730,21.7,30,43.09
20080731,21.41,29.82,41.73
20080801,20.72,29.27,41.6
20080804,20.49,28.27,39.25
20080805,20.7,28.37,39.23
20080806,20.9,28.72,40.43
20080807,20.48,28.3,39.73
20080808,20.51,27.82,39.05
20080811,20.42,27.64,38.73
20080812,20.14,27.56,38.76
20080813,19.87,28.02,40.31
20080814,19.72,28.06,39.69
20080815,19.59,27.59,38.82
20080818,19.56,27.44,38.45
20080819,19.28,27.44,39.54
20080820,19.8,28.09,40.87
20080821,19.81,28.97,42.05
20080822,19.84,28.71,41.2
20080825,19.51,28.23,40.64
20080826,19.57,28.29,41.3
20080827,19.87,28.88,42.03
20080828,20.49,29.21,41.64
20080829,20.35,28.85,41.21
20080902,19.77,27.77,38.92
20080903,19.52,27.56,38.5
20080904,18.2,26.59,37.52
20080905,18.12,26.81,37.58
20080908,18.92,26.45,36.86
20080909,17.6,25.17,34.11
20080910,17.98,25.91,35.42
20080911,17.77,26.33,35.99
20080912,18.79,26.88,37.29
20080915,17.19,25.43,34.67
20080916,17.47,25.59,35.46
20080917,16.27,24.78,34.73
20080918,17.27,25.44,35.73
20080919,18.82,27.48,38.58
20080922,19.21,27.6,38.15
20080923,18.96,27.34,37.19
20080924,19.23,27.18,37.12
20080925,19.56,27.13,37.62
20080926,19.13,26.24,36.72
20080929,16.33,24.27,33.1
20080930,17.07,24.81,34.32
20081001,17.28,24.62,33.47
20081002,16.13,22.48,30.43
20081003,16.01,22,30.17
20081006,13.64,20.8,28.54
20081007,13.55,19.51,26.5
20081008,12.49,20.02,26.69
20081009,12.07,18.39,24.33
20081010,10.94,17.32,22.14
20081013,13.93,19.65,26.06
20081014,13.11,18.86,25.97
20081015,11.46,17.22,21.53
20081016,12.49,17.27,22.65
20081017,11.63,17.54,22.99
20081020,13.24,18.76,25.84
20081021,12.21,17.65,24.29
20081022,11.09,16.02,21.62
20081023,11.14,16.13,22.46
20081024,9.77,15.66,21.54
20081027,9.23,14.26,19.9
20081028,10.93,15.66,22.4
20081029,10.88,16.6,23.39
20081030,11.77,17.72,25.03
20081031,11.52,17.65,25.15
20081103,12.33,18.04,24.39
20081104,13.63,19.54,26.59
20081105,12.76,18.65,25.21
20081106,11.42,17.68,23.44
20081107,12.08,17.68,24.48
20081110,11.36,17.79,24.64
20081111,10.81,17.08,23.56
20081112,9.88,15.54,21.48
20081113,11.05,16.83,24.1
20081114,9.89,16,22.85
20081117,9.42,15.61,22.21
20081118,9.41,15.5,23.07
20081119,8.45,14.73,21.35
20081120,7.49,12.94,18.47
20081121,8.9,13.67,21.04
20081124,9.41,14.65,22.68
20081125,10.01,14.95,23.18
20081126,10.05,15.22,24.8
20081128,10.19,15.58,24.49
20081201,9.03,14.81,21.72
20081202,9.58,14.5,22.4
20081203,9.76,14.45,22.3
20081204,9.08,13.73,20.6
20081205,9.45,13.91,20.84
20081208,10.37,14.79,22.33
20081209,9.66,14.52,22.44
20081210,9.96,14.79,23.84
20081211,9.88,14.86,23.76
20081212,9.92,14.93,23.53
20081215,9.91,14.97,23.62
20081216,10.87,15.83,24.6
20081217,10.63,15.77,24.42
20081218,9.98,15.29,22.78
20081219,10.24,15.27,22.96
20081222,10.19,14.81,22.01
20081223,10.01,15.08,21.98
20081224,10.29,15.01,21.96
20081226,10.54,14.98,22.49
20081229,10.36,15.48,23.1
20081230,10.81,15.88,23.49
20081231,11.43,16.22,23.85
20090102,11.58,16.67,25.1
20090105,11.39,17.21,25.66
20090106,11.83,17.67,26.25
20090107,11.27,16.91,24.79
20090108,11.38,17.3,25.31
20090109,10.92,16.83,24.3
20090112,10.42,15.94,23.16
20090113,10.17,16.1,23.68
20090114,9.72,15.31,22.46
20090115,9.93,15.51,22.7
20090116,9.99,15.73,23
20090120,8.93,14.54,21.57
20090121,9.59,15.26,23.02
20090122,9.22,14.74,22.26
20090123,9.01,15.28,23.33
20090126,9.08,15.44,23.71
20090127,9.41,15.66,23.62
20090128,9.84,16.16,24.33
20090129,9.2,15.71,23.62
20090130,9.03,15.49,23.13
20090202,9.08,15.16,22.65
20090203,9.51,15.36,23.03
20090204,9.13,15.45,23.32
20090205,9.45,15.89,23.98
20090206,10.09,16.25,24.49
20090209,10.11,16.39,24.65
20090210,9.13,15.57,23.48
20090211,9.48,15.5,23.35
20090212,9.56,15.51,23.44
20090213,9.67,15.37,23.3
20090217,8.83,14.31,21.87
20090218,8.89,14.15,21.68
20090219,9.01,14.08,21.55
20090220,9,13.85,21.07
20090223,8.61,13.2,19.95
20090224,9.16,13.68,20.72
20090225,8.84,13.68,20.65
20090226,8.81,14.14,20.83
20090227,8.64,13.88,20.52
20090302,8.01,12.76,18.73
20090303,8.2,12.77,19.03
20090304,8.65,13.29,19.98
20090305,8.1,12.81,19.31
20090306,8.19,12.82,19.4
20090309,7.93,12.58,19.41
20090310,8.73,13.38,20.17
20090311,8.81,13.6,20.3
20090312,9.07,14.24,20.99
20090313,9.34,14.27,20.89
20090316,9.39,14.53,21.16
20090317,9.94,14.85,21.86
20090318,10.13,15.33,22.31
20090319,10.36,15.62,23.24
20090320,10.27,15.13,22.34
20090323,11.12,16.25,24.05
20090324,10.81,15.94,23.47
20090325,11.05,15.93,23.66
20090326,11.43,16.3,23.95
20090327,11.02,15.85,23.15
20090330,10.37,14.99,22.14
20090331,10.81,15.25,22.15
20090401,11.04,15.78,22.73
20090402,11.83,16.2,23.55
20090403,11.98,16.53,23.93
20090406,11.74,16.34,23.35
20090407,11.4,15.86,22.65
20090408,11.3,16.03,22.99
20090409,11.84,16.8,23.8
20090413,12.12,17.05,23.81
20090414,11.92,16.87,23.52
20090415,12.16,17.18,23.7
20090416,12.2,17.32,23.77
20090417,12.13,17.43,23.99
20090420,11.15,16.47,22.73
20090421,11.57,16.75,23.23
20090422,11.29,16.75,23.09
20090423,11.82,17.28,23.7
20090424,12.01,17.72,24.52
20090427,11.62,17.24,24
20090428,11.41,17.08,23.79
20090429,12.02,17.6,24.54
20090430,12.11,17.53,24.23
20090501,12.23,18.14,25.14
20090504,13.06,19.03,26.51
20090505,12.91,19.03,26.18
20090506,13.22,19.73,27.3
20090507,13.11,19.19,26.8
20090508,13.8,20.14,28.22
20090511,13.17,19.71,27.44
20090512,13.3,19.75,27.45
20090513,12.5,18.61,26.29
20090514,12.72,19.11,26.49
20090515,12.43,18.8,25.91
20090518,13.07,19.68,26.81
20090519,13.36,19.8,27.13
20090520,13.37,20.44,27.61
20090521,13.08,19.93,26.79
20090522,13.23,20.3,26.98
20090526,13.66,20.98,27.67
20090527,13.1,20.72,27.31
20090528,13.24,21.36,28.36
20090529,13.89,21.89,29.05
20090601,14.58,22.29,30.02
20090602,14.87,22.43,29.91
20090603,14.4,21.34,28.4
20090604,14.32,21.88,29.09
20090605,14.27,21.57,28.8
20090608,14.03,21.56,28.78
20090609,14.44,21.87,29.06
20090610,14.77,21.8,29.09
20090611,15.27,22.16,29.83
20090612,15.07,21.82,29.3
20090615,14.28,20.91,28.28
20090616,14.14,20.7,27.68
20090617,13.9,20.23,26.99
20090618,14.14,20.26,26.95
20090619,14.23,20.56,26.77
20090622,13.53,19.35,25.19
20090623,13.5,19.45,25.51
20090624,13.78,19.92,25.81
20090625,14.14,20.48,26.62
20090626,14.28,20.46,27.29
20090629,14.44,20.73,26.59
20090630,14.27,20.3,26.41
20090701,14.34,20.61,26.46
20090702,13.69,20.14,25.51
20090706,13.59,19.73,24.89
20090707,13.12,19.18,24.29
20090708,13.02,18.75,24.13
20090709,13.22,19.12,24.54
20090710,13.19,18.91,24.38
20090713,13.32,19.41,24.89
20090714,13.88,20,25.37
20090715,14.69,20.92,26.43
20090716,14.82,21.11,26.75
20090717,14.75,21.29,27.03
20090720,15.28,21.82,27.68
20090721,15.19,21.72,27.85
20090722,15.16,21.82,27.65
20090723,15.5,22.57,28.49
20090724,15.45,22.7,28.73
20090727,15.69,22.87,28.73
20090728,15.76,22.46,28.19
20090729,15.5,22.03,27.42
20090730,16.08,22.64,28.01
20090731,16.4,23.08,28.43
20090803,16.91,23.72,29.56
20090804,16.9,23.59,29.36
20090805,16.73,23.63,29.09
20090806,16.85,23.05,28.74
20090807,16.94,23,28.77
20090810,16.72,22.73,28.67
20090811,16.55,22.07,28.15
20090812,17,22.4,28.55
20090813,17.59,22.74,29.1
20090814,17.08,22.5,28.51
20090817,16.59,21.65,27.47
20090818,16.94,21.98,27.91
20090819,17.03,22.21,28.33
20090820,16.97,22.39,28.58
20090821,16.96,22.81,29.51
20090824,17.38,22.83,29.61
20090825,17.4,22.95,29.23
20090826,17.21,22.8,29.13
20090827,17.63,23.07,29.2
20090828,17.84,23.03,29.32
20090831,17.74,22.66,28.64
20090901,17.32,22.05,28.01
20090902,17.27,22.07,28.17
20090903,17.66,22.72,28.56
20090904,18,23.13,29.1
20090908,18.59,23.5,29.85
20090909,18.66,23.33,29.81
20090910,18.94,23.68,30.5
20090911,18.9,23.89,30.86
20090914,18.79,24.04,31.03
20090915,18.79,24.65,31.6
20090916,19.79,24.93,32.37
20090917,19.5,24.83,32.06
20090918,19.52,24.78,31.86
20090921,19.29,24.32,31.53
20090922,19.68,24.92,32.16
20090923,19.64,24.58,31.43
20090924,19.26,23.81,30.67
20090925,19.47,23.56,30.55
20090928,19.83,23.93,31.08
20090929,19.93,24.04,31.17
20090930,20.07,24.36,31.08
20091001,19.25,23.3,29.93
20091002,18.91,23.16,29.77
20091005,19.34,23.71,30.61
20091006,19.83,24.24,31.54
20091007,20.1,24.41,31.77
20091008,20.95,24.93,32.67
20091009,20.84,24.99,32.71
20091012,20.91,25.21,33.09
20091013,20.9,25.16,33.18
20091014,21.62,25.68,33.75
20091015,21.79,25.44,34.2
20091016,21.51,25.38,34.08
