Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60,Var61,Var62,Var63,Var64,Var65,Var66,Var67,Var68
20060510,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.08,NaN,61.64,16.87,23.56,23.26,14.65,29.11,19.87,37.1,53.6,NaN,NaN,44.28,24.06,NaN,NaN,70.38,NaN,33.52,72.2,60.25,51.25,140.02,NaN,NaN,NaN,29.43,NaN,NaN,NaN,NaN,NaN,31.16,NaN,NaN,117.57,NaN,NaN,NaN,NaN,NaN,NaN,69.77,NaN,NaN,NaN,50.11,51.17,NaN,NaN,30.64,54.32,31.4,32.24,20.13,20.3,27.29,32.25,NaN
20060511,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.15,NaN,60.93,16.86,23.17,22.89,14.35,28.98,19.75,35.34,52.51,NaN,NaN,43.8,23.63,NaN,NaN,71.03,NaN,33,70.46,58.68,50.53,138.6,NaN,NaN,NaN,29.04,NaN,NaN,NaN,NaN,NaN,30.57,NaN,NaN,115.97,NaN,NaN,NaN,NaN,NaN,NaN,70.3,NaN,NaN,NaN,49.58,49.95,NaN,NaN,30.16,53.55,30.84,32.06,19.68,20,27.23,31.9,NaN
20060512,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.22,NaN,60.03,16.3,22.76,22.42,14.16,28.6,19.4,33.9,49.25,NaN,NaN,42.95,23.43,NaN,NaN,71.12,NaN,31.86,68.65,57.62,50.05,135.33,NaN,NaN,NaN,28.52,NaN,NaN,NaN,NaN,NaN,30.31,NaN,NaN,114.26,NaN,NaN,NaN,NaN,NaN,NaN,69.11,NaN,NaN,NaN,48.63,49.13,NaN,NaN,29.42,51.56,30.5,31.5,19.48,19.81,27.16,31.56,NaN
20060515,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.38,NaN,59.44,15.79,22.2,22.05,14.3,27.94,19.1,32.05,45.75,NaN,NaN,42.48,22.99,NaN,NaN,67.41,NaN,30.92,68.32,58.54,50.46,134.38,NaN,NaN,NaN,28.74,NaN,NaN,NaN,NaN,NaN,30.07,NaN,NaN,114.52,NaN,NaN,NaN,NaN,NaN,NaN,66.63,NaN,NaN,NaN,47.52,50.01,NaN,NaN,28.98,50.37,30.73,31.51,19.5,20.07,27.59,31.65,NaN
20060516,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.55,NaN,59.34,16.08,22.29,22.12,14.14,28.09,19.12,32.7,45.98,NaN,NaN,42.73,23.19,NaN,NaN,68.61,NaN,30.98,68.44,58.4,50.32,134.21,NaN,NaN,NaN,28.24,NaN,NaN,NaN,NaN,NaN,30.05,NaN,NaN,114.33,NaN,NaN,NaN,NaN,NaN,NaN,66.7,NaN,NaN,NaN,47.95,49.76,NaN,NaN,28.99,50.57,30.69,31.5,19.3,20.16,27.67,31.41,NaN
20060517,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.38,NaN,57.17,15.39,21.79,21.03,13.67,26.98,18.5,30.46,44.02,NaN,NaN,40.76,22.35,NaN,NaN,68.15,NaN,30.14,67.1,56.94,49.33,131.15,NaN,NaN,NaN,27.87,NaN,NaN,NaN,NaN,NaN,29.39,NaN,NaN,111.87,NaN,NaN,NaN,NaN,NaN,NaN,65.7,NaN,NaN,NaN,45.69,48.55,NaN,NaN,28.09,49.15,30.02,30.78,19.02,19.86,27.35,30.94,NaN
20060518,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.75,NaN,56.97,15.44,21.47,21.08,13.68,27.11,18.49,29.65,43.81,NaN,NaN,40.84,22.12,NaN,NaN,67.46,NaN,29.51,66.42,56.75,48.83,130.24,NaN,NaN,NaN,28.1,NaN,NaN,NaN,NaN,NaN,29.07,NaN,NaN,111.23,NaN,NaN,NaN,NaN,NaN,NaN,66.74,NaN,NaN,NaN,45.67,48.06,NaN,NaN,27.74,48.49,29.73,30.5,18.95,19.74,27.22,30.92,NaN
20060519,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.45,NaN,57.3,15.31,21.55,21.22,13.8,27.38,18.51,29.95,44.38,NaN,NaN,41.25,22.64,NaN,NaN,65.58,NaN,29.68,67.05,56.61,49.17,130.62,NaN,NaN,NaN,28.48,NaN,NaN,NaN,NaN,NaN,29.56,NaN,NaN,112.12,NaN,NaN,NaN,NaN,NaN,NaN,65.57,NaN,NaN,NaN,45.89,48.21,NaN,NaN,27.88,48.84,29.9,30.61,19.1,19.76,27.05,31.15,NaN
20060522,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.89,NaN,55.85,14.81,21.35,20.79,13.42,26.93,18.15,27.5,41.79,NaN,NaN,40.78,20.92,NaN,NaN,65.3,NaN,29.36,66.25,56.16,49.34,129.43,NaN,NaN,NaN,28.2,NaN,NaN,NaN,NaN,NaN,28.61,NaN,NaN,111.15,NaN,NaN,NaN,NaN,NaN,NaN,66.28,NaN,NaN,NaN,44.69,48.04,NaN,NaN,27.18,48.53,29.82,30.54,18.92,19.83,26.92,30.91,NaN
20060523,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.55,NaN,55.87,15.09,21.37,20.99,13.22,27.06,18.27,26.83,42.28,NaN,NaN,40.92,21.29,NaN,36.44,66.38,NaN,29.51,65.33,55.7,49.07,128.12,NaN,NaN,NaN,28.03,NaN,NaN,NaN,NaN,NaN,27.98,NaN,NaN,110.19,NaN,NaN,NaN,NaN,NaN,NaN,67.77,NaN,NaN,NaN,45.57,47.35,NaN,NaN,27.25,48.54,29.66,30.38,18.77,19.82,26.78,30.66,NaN
20060524,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.33,NaN,55.83,14.84,21.15,20.9,13.25,26.79,18.16,25.85,41.13,NaN,NaN,40.8,20.96,NaN,35,64.06,NaN,29.11,65.87,55.81,49.15,128.43,NaN,NaN,NaN,28.1,NaN,NaN,NaN,NaN,NaN,28.39,NaN,NaN,111.19,NaN,NaN,NaN,NaN,NaN,NaN,66.1,NaN,NaN,NaN,45.01,47.45,NaN,NaN,27.11,47.88,29.68,30.29,18.97,20,26.87,30.71,NaN
20060525,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.65,NaN,56.7,15.11,21.99,21.42,13.42,27.2,18.5,28.2,43.77,NaN,NaN,41.82,21.68,NaN,36.8,64.7,NaN,30.23,67.36,57.09,49.37,130.2,NaN,NaN,NaN,28.52,NaN,NaN,NaN,NaN,NaN,28.39,NaN,NaN,112.75,NaN,NaN,NaN,NaN,NaN,NaN,67.8,NaN,NaN,NaN,46.09,48.62,NaN,NaN,27.65,49.74,29.97,30.52,19.16,20.23,27.15,31.03,NaN
20060526,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.55,NaN,57.23,15.25,22.2,21.5,13.6,27.63,18.68,29.66,44.31,NaN,NaN,42.11,21.54,NaN,37.03,65.1,NaN,30.48,67.79,57.74,49.64,131.29,NaN,NaN,NaN,28.53,NaN,NaN,NaN,NaN,NaN,28.59,NaN,NaN,113.4,NaN,NaN,NaN,NaN,NaN,NaN,67.75,NaN,NaN,NaN,46.58,49.38,NaN,NaN,28.19,49.92,30.24,30.71,19.26,20.23,27.32,31.14,NaN
20060530,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.17,NaN,56.23,15.15,22.1,21.01,13.22,27.16,18.4,27.1,41.53,NaN,NaN,41.07,20.59,NaN,36.65,65.11,NaN,30.01,65.79,57.19,48.9,128.78,NaN,NaN,NaN,27.89,NaN,NaN,NaN,NaN,NaN,28.02,NaN,NaN,111.12,NaN,NaN,NaN,NaN,NaN,NaN,68.32,NaN,NaN,NaN,45.83,48.85,NaN,NaN,27.42,49.05,29.75,30.27,18.85,19.93,26.92,30.63,NaN
20060531,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.68,NaN,56.71,14.96,22.38,21.29,13.32,27.41,18.58,27.45,42.21,NaN,NaN,41.56,21.02,NaN,37.33,64.23,NaN,30.72,67.02,57.09,49.16,131.45,NaN,NaN,NaN,28.23,NaN,NaN,NaN,NaN,NaN,28.42,NaN,NaN,112.53,NaN,NaN,NaN,NaN,NaN,NaN,67.73,NaN,NaN,NaN,46.04,48.96,NaN,NaN,27.78,50.37,29.98,30.51,18.93,20.02,27.11,30.99,NaN
20060601,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.32,NaN,57.13,14.87,22.38,21.48,13.38,27.68,18.62,29,43.03,NaN,NaN,42.07,21.26,NaN,37.01,62.56,NaN,30.79,68.42,58.53,49.88,133.38,NaN,NaN,NaN,28.51,NaN,NaN,NaN,NaN,NaN,29.01,NaN,NaN,113.75,NaN,NaN,NaN,NaN,NaN,NaN,66.82,NaN,NaN,NaN,46.64,50.13,NaN,NaN,28.13,50.52,30.36,30.86,19.28,20.15,27.54,31.51,NaN
20060602,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.65,NaN,57.77,15.11,22.6,21.56,13.54,27.97,18.93,28.91,43.57,NaN,NaN,42.27,21.54,NaN,37.61,63.5,NaN,31.37,68.37,59.29,50.19,133.65,NaN,NaN,NaN,28.44,NaN,NaN,NaN,NaN,NaN,28.99,NaN,NaN,114.02,NaN,NaN,NaN,NaN,NaN,NaN,68.9,NaN,NaN,NaN,47.26,50.88,NaN,NaN,28.44,51.35,30.55,30.91,19.21,20.1,27.66,31.44,NaN
20060605,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.28,NaN,56.33,14.88,22.09,20.99,13.18,27.42,18.47,27.84,42.28,NaN,NaN,41.13,20.76,NaN,36.61,63.29,NaN,30.25,66.24,59.39,49.34,130.71,NaN,NaN,NaN,27.92,NaN,NaN,NaN,NaN,NaN,28.02,NaN,NaN,112.14,NaN,NaN,NaN,NaN,NaN,NaN,68.74,NaN,NaN,NaN,46.06,51.2,NaN,NaN,27.46,49.57,30.01,30.17,18.9,19.76,27.18,30.9,NaN
20060606,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.06,NaN,55.54,14.52,21.86,20.65,12.96,27.07,18.24,27.65,40.38,NaN,NaN,40.69,21.29,NaN,35.49,62.55,NaN,30.03,65.94,58.68,49.25,129.62,NaN,NaN,NaN,27.71,NaN,NaN,NaN,NaN,NaN,28.03,NaN,NaN,111.83,NaN,NaN,NaN,NaN,NaN,NaN,68.76,NaN,NaN,NaN,45.41,50.41,NaN,NaN,27.19,49.52,29.93,30.04,18.9,19.83,27.23,30.73,NaN
20060607,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.38,NaN,54.66,14.36,21.44,20.4,12.66,26.64,18.08,26.11,39.18,NaN,NaN,40.22,21.06,NaN,34.62,62.28,NaN,28.96,65.25,58.96,49.64,128.12,NaN,NaN,NaN,27.62,NaN,NaN,NaN,NaN,NaN,27.3,NaN,NaN,110.88,NaN,NaN,NaN,NaN,NaN,NaN,67.28,NaN,NaN,NaN,45.02,50.87,NaN,NaN,26.47,47.42,30.04,29.67,18.62,19.82,27.37,30.74,NaN
20060608,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.85,NaN,53.26,14.08,21.04,19.96,12.23,26.03,17.75,26.12,37.03,NaN,NaN,39.46,20.29,NaN,33.75,60.91,NaN,28.97,65.31,58.64,49.84,127.46,NaN,NaN,NaN,27.94,NaN,NaN,NaN,NaN,NaN,27.14,NaN,NaN,110.77,NaN,NaN,NaN,NaN,NaN,NaN,67.12,NaN,NaN,NaN,43.31,50.73,NaN,NaN,26.37,48.16,30.1,29.69,18.52,19.9,27.42,30.69,NaN
20060609,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.47,NaN,53.19,14.33,21.32,19.76,12.17,25.91,17.71,25.65,38.4,NaN,NaN,39.26,19.95,NaN,33.55,60.45,NaN,28.85,64.69,59.29,49.75,127.02,NaN,NaN,NaN,27.86,NaN,NaN,NaN,NaN,NaN,26.96,NaN,NaN,110.37,NaN,NaN,NaN,NaN,NaN,NaN,68.07,NaN,NaN,NaN,43.43,51.16,NaN,NaN,26.21,47.62,29.99,29.41,18.44,19.92,27.2,30.61,NaN
20060612,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.39,NaN,52.66,14.19,21.02,19.43,12.05,25.66,17.64,23.65,36.89,NaN,NaN,38.53,19.43,NaN,32.26,60.03,NaN,27.95,63.09,58.25,49.28,123.91,NaN,NaN,NaN,27.49,NaN,NaN,NaN,NaN,NaN,26.28,NaN,NaN,109.01,NaN,NaN,NaN,NaN,NaN,NaN,67.08,NaN,NaN,NaN,42.8,50.37,NaN,NaN,25.73,46.54,29.63,29,18.07,19.78,26.89,30.17,NaN
20060613,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.77,NaN,50.74,13.34,20.23,18.85,11.61,25.13,17.07,22.42,35.36,NaN,NaN,37.47,18.59,NaN,30.68,55.92,NaN,27.06,61.8,57.34,48.28,121.97,NaN,NaN,NaN,27.76,NaN,NaN,NaN,NaN,NaN,26.22,NaN,NaN,107.57,NaN,NaN,NaN,NaN,NaN,NaN,65.18,NaN,NaN,NaN,41.21,49.7,NaN,NaN,25.22,45.01,29,28.9,18.09,19.7,26.81,29.91,NaN
20060614,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.55,NaN,51.6,13.75,20.41,19.14,11.92,25.2,17.33,23.15,36.37,NaN,NaN,38.22,19.23,NaN,31.51,55.62,NaN,27.72,62.6,57.23,47.6,122.87,NaN,NaN,NaN,27.92,NaN,NaN,NaN,NaN,NaN,26.65,NaN,NaN,108.52,NaN,NaN,NaN,NaN,NaN,NaN,65.79,NaN,NaN,NaN,42.15,49.15,NaN,NaN,25.61,46.3,28.81,29.18,18.22,19.8,26.86,30.06,NaN
20060615,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.19,NaN,53.68,14.29,21,19.92,12.37,26.16,18.13,25.85,39.46,NaN,NaN,39.61,20.26,NaN,33.42,57.32,NaN,28.97,64.91,58.43,48.65,126.85,NaN,NaN,NaN,28.51,NaN,NaN,NaN,NaN,NaN,27.69,NaN,NaN,111.14,NaN,NaN,NaN,NaN,NaN,NaN,66.16,NaN,NaN,NaN,43.9,50.49,NaN,NaN,26.61,48.26,29.51,29.92,18.72,19.99,27.23,30.77,NaN
20060616,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.02,NaN,53.18,14.11,20.78,19.68,12.25,25.85,17.88,25.65,39.63,NaN,NaN,38.29,20.28,NaN,33.05,57.68,NaN,28.77,64,58.62,48.38,126.28,NaN,NaN,NaN,28.31,NaN,NaN,NaN,NaN,NaN,27.39,NaN,NaN,110.22,NaN,NaN,NaN,NaN,NaN,NaN,66.25,NaN,NaN,NaN,43.55,50.36,NaN,NaN,26.42,48.11,29.31,29.91,18.69,20.02,27.19,30.69,NaN
20060619,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.92,NaN,52.87,13.86,20.32,19.58,12.18,25.72,17.77,24.43,37.32,NaN,NaN,37.93,19.81,NaN,32.08,56.36,NaN,27.76,62.65,57.99,47.92,123.85,NaN,NaN,NaN,28.19,NaN,NaN,NaN,NaN,NaN,27.21,NaN,NaN,109.24,NaN,NaN,NaN,NaN,NaN,NaN,65.54,NaN,NaN,NaN,43.16,49.91,NaN,NaN,25.81,46.11,29.09,29.65,18.6,19.93,26.96,30.51,NaN
20060620,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.27,NaN,53.24,13.85,20.29,19.87,12.21,26.04,17.95,24.75,37.86,NaN,NaN,38.48,19.83,NaN,32.82,57.3,NaN,27.66,62.57,57.56,48.08,124.07,NaN,NaN,NaN,28.28,NaN,NaN,NaN,NaN,NaN,27.12,NaN,NaN,109.66,NaN,NaN,NaN,NaN,NaN,NaN,65.29,NaN,NaN,NaN,43.61,49.57,NaN,NaN,25.94,45.87,29.18,29.61,18.57,20.1,26.85,30.39,NaN
20060621,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.2,NaN,54.04,14.23,20.82,20.3,12.38,26.43,18.12,26.19,39.3,NaN,NaN,39.28,20.51,NaN,34.34,58.33,NaN,28.31,63.75,58.44,48.26,126.1,62.98,NaN,NaN,28.52,NaN,NaN,NaN,NaN,NaN,27.67,NaN,NaN,110.58,NaN,61.79,NaN,NaN,NaN,NaN,66.35,NaN,NaN,NaN,44.4,50.32,NaN,NaN,26.67,47.01,29.44,30,18.83,20.19,27,30.71,NaN
20060622,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.67,NaN,53.71,14.19,20.66,20.18,12.32,26.3,18,26.11,37.83,NaN,NaN,38.94,20.44,NaN,34.12,57.73,NaN,28.46,63.5,57.95,48.16,125.63,61.92,NaN,NaN,28.41,NaN,NaN,NaN,NaN,NaN,27.25,NaN,NaN,110.03,NaN,61.03,NaN,NaN,NaN,NaN,67,NaN,NaN,NaN,43.83,49.86,NaN,NaN,26.51,47.23,29.32,29.8,18.59,20.15,26.83,30.45,42.87
20060623,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.62,NaN,53.53,14.18,20.78,20.13,12.26,26.28,17.86,26.13,36.72,NaN,NaN,38.83,20.67,NaN,34.76,57.99,NaN,29.04,63.91,57.69,47.7,126.7,63.11,NaN,NaN,28.27,NaN,NaN,NaN,NaN,NaN,26.84,NaN,NaN,110.01,NaN,61.02,NaN,NaN,NaN,NaN,66.89,NaN,NaN,NaN,43.74,49.37,NaN,NaN,26.77,48.39,29.11,29.89,18.53,20.07,26.86,30.42,43.79
20060626,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.62,NaN,54.02,14.22,21.09,20.17,12.37,26.53,17.97,26.25,36.03,NaN,NaN,39.01,20.72,NaN,35.11,58.28,NaN,29.4,64.76,58.38,48.11,127.5,63.86,NaN,NaN,28.47,NaN,NaN,NaN,NaN,NaN,27.11,NaN,NaN,110.56,NaN,61.43,NaN,NaN,NaN,NaN,67.7,NaN,NaN,NaN,44.01,50.05,NaN,NaN,26.86,48.98,29.39,29.98,18.57,20.2,26.75,30.59,44.11
20060627,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.07,NaN,52.86,14.11,20.95,19.83,12.14,25.97,17.67,25.68,35.34,NaN,NaN,38.16,20.63,NaN,33.96,57.68,NaN,29.39,63.56,58.24,47.75,126.01,62.41,NaN,NaN,28.25,NaN,NaN,NaN,NaN,NaN,26.48,NaN,NaN,109.48,NaN,60.17,NaN,NaN,NaN,NaN,68.08,NaN,NaN,NaN,43.22,49.98,NaN,NaN,26.47,49.08,29.08,29.67,18.3,20.09,26.44,30.17,43.77
20060628,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.96,NaN,53.56,14.05,20.93,19.85,12.3,26.38,17.89,26.55,37.39,NaN,NaN,38.61,21.21,NaN,33.79,57.54,NaN,29.75,63.86,58.48,47.92,126.6,62.83,NaN,NaN,28.27,NaN,NaN,NaN,NaN,NaN,26.57,NaN,NaN,110.32,NaN,60.79,NaN,NaN,NaN,NaN,68.31,NaN,NaN,NaN,43.95,50.17,NaN,NaN,26.55,50.01,29.25,29.77,18.43,20.2,26.44,30.2,44.14
20060629,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.72,NaN,55.86,14.86,21.63,20.79,12.85,27.39,18.57,29.1,40.4,NaN,NaN,40.33,22.33,NaN,36.44,59.52,NaN,30.86,66.51,59.9,49.05,130.41,66.9,NaN,NaN,28.86,NaN,NaN,NaN,NaN,NaN,27.46,NaN,NaN,112.84,NaN,63.78,NaN,NaN,NaN,NaN,69.51,NaN,NaN,NaN,45.79,51.6,NaN,NaN,27.78,51.57,29.92,30.47,18.94,20.58,26.95,30.91,47.09
20060630,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.75,NaN,56.67,14.91,21.83,21.12,12.96,27.68,18.75,29.62,40.28,NaN,NaN,41,22.19,NaN,37.18,61.23,NaN,31,66.99,60.24,48.63,130.67,67.17,NaN,NaN,28.72,NaN,NaN,NaN,NaN,NaN,27.3,NaN,NaN,112.85,NaN,63.74,NaN,NaN,NaN,NaN,69.77,NaN,NaN,NaN,46.64,52.1,NaN,NaN,27.93,51.76,29.83,30.46,18.83,20.46,27.12,30.93,47.28
20060703,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.44,NaN,57.01,15.05,22.07,21.46,13.2,27.96,18.79,30.35,42.02,NaN,NaN,41.43,22.59,NaN,38.71,62.18,NaN,31.52,67.89,61.53,49.16,132.05,68.7,NaN,NaN,28.61,NaN,NaN,NaN,NaN,NaN,27.73,NaN,NaN,113.37,NaN,64.74,NaN,NaN,NaN,NaN,69.93,NaN,NaN,NaN,47.02,53.33,NaN,NaN,28.31,52.37,30.21,30.58,18.98,20.6,27.18,30.98,48.63
20060705,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.45,NaN,55.76,14.79,21.89,20.9,12.74,27.24,18.6,28.97,39.76,NaN,NaN,40.47,21.91,NaN,37.85,62.5,NaN,31.43,66.83,61.47,48.58,129.76,66.23,NaN,NaN,28.32,NaN,NaN,NaN,NaN,NaN,26.81,NaN,NaN,112.64,NaN,63.75,NaN,NaN,NaN,NaN,71,NaN,NaN,NaN,45.93,53.22,NaN,NaN,27.92,52.63,29.9,30.33,18.66,20.4,27.15,30.67,47.8
